Experiment,14.4
Plot title,(b)

Number of,2
plots

Number of,1001
points

Time,N,Square root of C at cutoff distance
83.2,95.4507,97.0678
83.3,95.4106,97.0292
83.4,95.3706,96.9907
83.5,95.3307,96.9522
83.6,95.2908,96.9138
83.7,95.251,96.8754
83.8,95.2112,96.8371
83.9,95.1715,96.7989
84,95.1319,96.7607
84.1,95.0923,96.7225
84.2,95.0527,96.6845
84.3,95.0133,96.6464
84.4,94.9739,96.6085
84.5,94.9345,96.5706
84.6,94.8952,96.5327
84.7,94.856,96.4949
84.8,94.8168,96.4572
84.9,94.7777,96.4195
85,94.7386,96.3819
85.1,94.6996,96.3443
85.2,94.6607,96.3068
85.3,94.6218,96.2693
85.4,94.5829,96.2319
85.5,94.5442,96.1946
85.6,94.5054,96.1573
85.7,94.4668,96.12
85.8,94.4282,96.0828
85.9,94.3896,96.0457
86,94.3511,96.0086
86.1,94.3127,95.9716
86.2,94.2743,95.9346
86.3,94.236,95.8977
86.4,94.1977,95.8608
86.5,94.1595,95.824
86.6,94.1213,95.7873
86.7,94.0832,95.7506
86.8,94.0452,95.7139
86.9,94.0072,95.6773
87,93.9692,95.6408
87.1,93.9314,95.6043
87.2,93.8935,95.5678
87.3,93.8558,95.5314
87.4,93.818,95.4951
87.5,93.7804,95.4588
87.6,93.7428,95.4226
87.7,93.7052,95.3864
87.8,93.6677,95.3503
87.9,93.6303,95.3142
88,93.5929,95.2782
88.1,93.5555,95.2423
88.2,93.5182,95.2063
88.3,93.481,95.1705
88.4,93.4438,95.1347
88.5,93.4067,95.0989
88.6,93.3696,95.0632
88.7,93.3326,95.0275
88.8,93.2957,94.9919
88.9,93.2587,94.9564
89,93.2219,94.9209
89.1,93.1851,94.8854
89.2,93.1483,94.85
89.3,93.1116,94.8147
89.4,93.075,94.7794
89.5,93.0384,94.7441
89.6,93.0018,94.7089
89.7,92.9653,94.6738
89.8,92.9289,94.6387
89.9,92.8925,94.6036
90,92.8562,94.5686
90.1,92.8199,94.5337
90.2,92.7836,94.4988
90.3,92.7475,94.4639
90.4,92.7113,94.4291
90.5,92.6752,94.3944
90.6,92.6392,94.3597
90.7,92.6032,94.325
90.8,92.5673,94.2904
90.9,92.5314,94.2558
91,92.4956,94.2213
91.1,92.4598,94.1869
91.2,92.4241,94.1525
91.3,92.3884,94.1181
91.4,92.3528,94.0838
91.5,92.3172,94.0495
91.6,92.2817,94.0153
91.7,92.2462,93.9811
91.8,92.2108,93.947
91.9,92.1754,93.9129
92,92.1401,93.8789
92.1,92.1048,93.845
92.2,92.0696,93.811
92.3,92.0344,93.7771
92.4,91.9993,93.7433
92.5,91.9642,93.7095
92.6,91.9292,93.6758
92.7,91.8942,93.6421
92.8,91.8593,93.6084
92.9,91.8244,93.5749
93,91.7896,93.5413
93.1,91.7548,93.5078
93.2,91.7201,93.4743
93.3,91.6854,93.4409
93.4,91.6507,93.4076
93.5,91.6162,93.3743
93.6,91.5816,93.341
93.7,91.5471,93.3078
93.8,91.5127,93.2746
93.9,91.4783,93.2414
94,91.4439,93.2084
94.1,91.4096,93.1753
94.2,91.3754,93.1423
94.3,91.3412,93.1094
94.4,91.307,93.0765
94.5,91.2729,93.0436
94.6,91.2388,93.0108
94.7,91.2048,92.978
94.8,91.1708,92.9453
94.9,91.1369,92.9126
95,91.103,92.88
95.1,91.0692,92.8474
95.2,91.0354,92.8149
95.3,91.0017,92.7824
95.4,90.968,92.7499
95.5,90.9343,92.7175
95.6,90.9007,92.6852
95.7,90.8672,92.6529
95.8,90.8337,92.6206
95.9,90.8002,92.5884
96,90.7668,92.5562
96.1,90.7334,92.524
96.2,90.7001,92.4919
96.3,90.6668,92.4599
96.4,90.6336,92.4279
96.5,90.6004,92.3959
96.6,90.5673,92.364
96.7,90.5342,92.3321
96.8,90.5011,92.3003
96.9,90.4681,92.2685
97,90.4351,92.2367
97.1,90.4022,92.205
97.2,90.3693,92.1734
97.3,90.3365,92.1417
97.4,90.3037,92.1102
97.5,90.271,92.0786
97.6,90.2383,92.0472
97.7,90.2057,92.0157
97.8,90.173,91.9843
97.9,90.1405,91.9529
98,90.108,91.9216
98.1,90.0755,91.8903
98.2,90.0431,91.8591
98.3,90.0107,91.8279
98.4,89.9783,91.7968
98.5,89.946,91.7657
98.6,89.9138,91.7346
98.7,89.8816,91.7036
98.8,89.8494,91.6726
98.9,89.8173,91.6417
99,89.7852,91.6108
99.1,89.7532,91.5799
99.2,89.7212,91.5491
99.3,89.6892,91.5183
99.4,89.6573,91.4876
99.5,89.6255,91.4569
99.6,89.5936,91.4262
99.7,89.5619,91.3956
99.8,89.5301,91.3651
99.9,89.4984,91.3345
100,89.4668,91.3041
